fcid	name	type	area_ha	imputed	area_source
CCB_2510	"CHINKO CONSERVATION AREA REDD+ PROJECT, CENTRAL AFRICAN REPUBLIC"	Reduced Emissions from Deforestation and Degradation	1225030	0	website
CCB_2502	TAHUAMANU AMAZON REDD PROJECT	Reduced Emissions from Deforestation and Degradation	171584	0	website
CCB_2497	"TIST Program in Uganda, VCS-CCB 011"	"Afforestation, Reforestation and Revegetation"	3500	0	website
CCB_2483	PNG Communities BEST REDD - Tavolo Project	Reduced Emissions from Deforestation and Degradation	21782	0	website
CCB_2481	Generation Forest Group Project	"Afforestation, Reforestation and Revegetation"	1100	0	website
CCB_2451	Shanxi Loufan Afforestation Project	"Afforestation, Reforestation and Revegetation"	25002	0	website
CCB_2418	Gansu Lanzhou Afforestation Project	"Afforestation, Reforestation and Revegetation"	23363	0	website
CCB_2413	Zhangjiakou Zhangbei County 2017 Afforestation Project	"Afforestation, Reforestation and Revegetation"	20750	0	website
CCB_2412	Mindanao Tree Planting Program for our Climate and Communities (MinTrees)	"Afforestation, Reforestation and Revegetation"	30000	0	website
CCB_2411	Bosques del Uruguay II (BDU II) Afforestation through High Quality Timber in Grasslands Project	"Afforestation, Reforestation and Revegetation"	1056	0	website
CCB_2408	Baoxing Afforestation Project	"Afforestation, Reforestation and Revegetation"	4468	0	website
CCB_2405	Gansu Dingxi Afforestation Project	"Afforestation, Reforestation and Revegetation"	49066	0	website
CCB_2391	Gansu Tianshui Afforestation Project	"Afforestation, Reforestation and Revegetation"	19853	0	website
CCB_2379	Huadu Afforestation Project	"Afforestation, Reforestation and Revegetation"	43600	0	website
CCB_2376	Jilin Lushuihe Afforestation Project	"Afforestation, Reforestation and Revegetation"	28886	0	website
CCB_2377	Jilin Wangou Afforestation Project	"Afforestation, Reforestation and Revegetation"	22529	0	website
CCB_2375	Jilin Sanchazi Afforestation Project	"Afforestation, Reforestation and Revegetation"	22565	0	website
CCB_2370	Zhangye City Afforestation Project in Gansu Province	"Afforestation, Reforestation and Revegetation"	23398	0	website
CCB_2345	Green Gold Loreto 1	Improved Forest Management	183445	0	website
CCB_2343	Zhanjiang Mangrove Afforestation Project	"Afforestation, Reforestation and Revegetation"	380	0	website
CCB_2338	"TIST Program in Kenya, VCS-CCB 010"	"Afforestation, Reforestation and Revegetation"	2293	0	website
CCB_2339	"TIST Program in Uganda, VCS-CCB 010"	"Afforestation, Reforestation and Revegetation"	2414	0	website
CCB_2305	Zhangjiakou Yuxian Afforestation Project in Hebei Province	"Afforestation, Reforestation and Revegetation"	11800	0	website
CCB_2301	Zhangjiakou Chongli Afforestation Project in Hebei Province	"Afforestation, Reforestation and Revegetation"	18920	0	website
CCB_2293	NIHT Topaiyo REDD +	Reduced Emissions from Deforestation and Degradation	110000	0	website
CCB_2290	BLUE CARBON PROJECT GULF OF MORROSQUILLO “VIDA MANGLAR”	Reduced Emissions from Deforestation and Degradation	7561	0	website
CCB_2278	The Jaguar Amazon REDD+ Project	Reduced Emissions from Deforestation and Degradation	183015	0	website
CCB_2252	Rio Anapu-Pacaja REDD Project	Reduced Emissions from Deforestation and Degradation	165707	0	website
CCB_2087	Chudu Afforestation Project	"Afforestation, Reforestation and Revegetation"	36500	0	website
CCB_2083	Liangdu Afforestation Project	"Afforestation, Reforestation and Revegetation"	23720	0	website
CCB_2084	"CONSERVATION PROJECT REDD+ SUR DEL META BOSQUES DE PAZ, SUSTENTO DE VIDA"	Reduced Emissions from Deforestation and Degradation	77612	0	website
CCB_2250	Delta Blue Carbon – 1	"Afforestation, Reforestation and Revegetation"	350000	0	website
CCB_2082	Qianbei Afforestation Project	"Afforestation, Reforestation and Revegetation"	50061	0	website
CCB_2249	HENAN FANGCHENG AND TANGHE AFFORESTATION PROJECT	"Afforestation, Reforestation and Revegetation"	26911	0	website
CCB_2070	Guinan Afforestation Project	"Afforestation, Reforestation and Revegetation"	46000	0	website
CCB_1969	Carbono Verde AR Project	"Afforestation, Reforestation and Revegetation"	39150	0	website
CCB_1953	Floresta Verde REDD+ Project	Reduced Emissions from Deforestation and Degradation	53528	0	website
CCB_1935	Hubei Hongshan IFM (Conversion of Logged to Protected Forest) Project	Improved Forest Management	23769	0	website
CCB_1900	Makame Savannah REDD	Reduced Emissions from Deforestation and Degradation	104065	0	website
CCB_1897	Ntakata Mountains REDD	Reduced Emissions from Deforestation and Degradation	212557	0	website
CCB_1895	Jilin Linjiang Afforestation Project	"Afforestation, Reforestation and Revegetation"	25085	0	website
CCB_1896	Hunan Northern and Northwestern Area Afforestation Project	"Afforestation, Reforestation and Revegetation"	41317	0	website
CCB_1882	REDD+ PROJECT IN THE ALTO HUAYABAMBA CONSERVATION CONCESSION (CCAH)	Reduced Emissions from Deforestation and Degradation	53410	0	website
CCB_1866	XinJiang Makit County Afforestation Carbon Sequestration Project	"Afforestation, Reforestation and Revegetation"	6697	0	website
CCB_1864	Puzhen Afforestation Project in Guizhou Province	"Afforestation, Reforestation and Revegetation"	26551	0	website
CCB_1865	Xiguan Afforestation Project in Guizhou Province	"Afforestation, Reforestation and Revegetation"	25449	0	website
CCB_1855	Hechu Afforestation Project in Anhui Province	"Afforestation, Reforestation and Revegetation"	30057	0	website
CCB_1848	"Korea - Myanmar Joint - Bago Region REDD+ Program, with North Zamari Wildlife Sanctuary"	Reduced Emissions from Deforestation and Degradation	71969	0	website
CCB_1847	Qianxinan Afforestation Project in Guizhou Province	"Afforestation, Reforestation and Revegetation"	32047	0	website
CCB_1832	Haidong Afforestation Project	"Afforestation, Reforestation and Revegetation"	12849	0	website
CCB_1825	Afforestation Project in Xining City	"Afforestation, Reforestation and Revegetation"	12874	0	website
CCB_1826	Qinghai Afforestation Project	"Afforestation, Reforestation and Revegetation"	13862	0	website
CCB_1821	Conservación de los Ecosistemas y el Almacén de Carbono Región de Transición Guayano Amazónica 'Flor de Inírida'	Reduced Emissions from Deforestation and Degradation	1000	0	website
CCB_1811	Jari/Pará REDD+ Project	Reduced Emissions from Deforestation and Degradation	496988	0	website
CCB_1806	Riscales REDD+ Project	Reduced Emissions from Deforestation and Degradation	162314	0	website
CCB_1799	"Forest Management to mitigate climate change in the native community of Bélgica, Madre de Dios Region – Peru"	Reduced Emissions from Deforestation and Degradation	53308	0	website
CCB_1775	Luangwa Community Forests Project	Reduced Emissions from Deforestation and Degradation	1236258	0	website
CCB_1769	"Grouped Project for restoration of degraded lands in Jaguar Corridors, Colombia"	"Afforestation, Reforestation and Revegetation"	4320	0	website
CCB_1765	Grouped Project for reducing emissions from deforestation and forest degradation-REDD-in the Regional Natural Park:Biological Corridor PNN Purace-PNN Cueva de los Guacharos	Reduced Emissions from Deforestation and Degradation	1000	0	website
CCB_1748	Southern Cardamom REDD+ Project	Reduced Emissions from Deforestation and Degradation	465839	0	website
CCB_1743	Beampingaratsy REDD Project	Reduced Emissions from Deforestation and Degradation	1000	0	website
CCB_1695	PAYMENT FOR ENVIRONMENTAL SERVICES SCHEME FOR FOREST MANAGEMENT AND CONSERVATION OF WATER SOURCES IN THE JURISDICTION OF CORPOCHIVOR	Reduced Emissions from Deforestation and Degradation	937	0	website
CCB_1689	Tumring REDD+ Project	Reduced Emissions from Deforestation and Degradation	67791	0	website
CCB_960	Lumin/Eucapine Uruguay Forest Plantations on degraded grasslands under extensive grazing	"Afforestation, Reforestation and Revegetation"	18988	0	website
CCB_1663	Fazenda Sao Paulo Afforestation	"Afforestation, Reforestation and Revegetation"	287	0	website
CCB_1653	Carbono Nascentes do Xingu	"Afforestation, Reforestation and Revegetation"	7	0	website
CCB_1654	Fortaleza Ituxi REDD Project	Reduced Emissions from Deforestation and Degradation	46592	0	website
CCB_1655	Guapiaçu Grande Vida	"Afforestation, Reforestation and Revegetation"	100	0	"area provided in web narative paragraph, but not in usual spot; no documents available on web"
CCB_1657	"Grouped Project REDD+ conservation of the Oak ecological corridor Guantiva – La Rusia – Iguaque, Colombia"	Reduced Emissions from Deforestation and Degradation	1075348	0	website
CCB_1649	"Restoration of Giant Panda Habitat in Southwest Sichuan, China"	"Afforestation, Reforestation and Revegetation"	19501.84028	1	area not provided; no documents available on web
CCB_1650	Reduced Emissions from Deforestation and Degradation in Keo Seima Wildlife Sanctuary	Reduced Emissions from Deforestation and Degradation	166983	0	website
CCB_1646	Kachung Forest Project: Afforestation on Degraded Lands	"Afforestation, Reforestation and Revegetation"	19501.84028	1	no area provided on web and no documents available online
CCB_1647	Panama Canal Authority Sustainable Forest Cover Establishment Project	"Afforestation, Reforestation and Revegetation"	10000	0	area from web narative paragraph; not provided in usual location & no docs available; added up values from 3 different project areas
CCB_1648	Carbon Sequestration in Communities of Extreme Poverty in the Sierra Gorda of Mexico	"Afforestation, Reforestation and Revegetation"	19501.84028	1	no area provided on web and no documents available online
CCB_1641	"Forest Carbon Project in Quirino Province, Sierra Madre Biodiversity Corridor, Luzon, Philippines"	"Afforestation, Reforestation and Revegetation"	19501.84028	1	website
CCB_1634	Philippines Penablanca Sustainable Reforestation Project	"Afforestation, Reforestation and Revegetation"	2500	0	area from web narative paragraph; not provided in usual location & no docs available
CCB_1635	Grand Cote and Lake Ophelia National Wildlife Refuges Restoration Initiative	"Afforestation, Reforestation and Revegetation"	19501.84028	1	no area provided on web and no documents available online
CCB_1636	Restoring a Forest Legacy at Upper Ouachita National Wildlife Refuge	"Afforestation, Reforestation and Revegetation"	1055	0	area from web narative paragraph (converted to hectares from acres); not provided in usual location & no docs available
CCB_1637	Northern Ontario Forestry Offset Pilot Project	"Afforestation, Reforestation and Revegetation"	45	0	"area from web narative paragraph; not provided in usual location & no docs available; possily is supposed to be 2045 as there is a misplaced ""20"" in the sentence."
CCB_1638	Sofala Community Carbon Project	"Afforestation, Reforestation and Revegetation"	19501.84028	1	no area provided on web and no documents available online
CCB_1629	Buffelsdraai Landfill Community Reforestation Project	"Afforestation, Reforestation and Revegetation"	500	0	"area from web narative paragraph listed as ""over 500 ha""; not provided in usual location & no docs available"
CCB_1630	"Watershed Restoration in the Cantareira Water System: Carbon, Community and Biodiversity Initiative"	"Afforestation, Reforestation and Revegetation"	186	0	area from web narative paragraph; not provided in usual location & no docs available
CCB_1631	Sustainable Agriculture in a Changing Climate	"Afforestation, Reforestation and Revegetation"	19501.84028	1	no area provided on web and no documents available online
CCB_1632	"Afforestation of Degraded Shengle Ecological Zone in Helinge'er of Inner Mongolia, China"	"Afforestation, Reforestation and Revegetation"	19501.84028	1	no area provided on web and no documents available online
CCB_1633	Reducing Carbon Emissions by Protecting a Native Forest in Tasmania	Reduced Emissions from Deforestation and Degradation	183256.363	1	no area provided on web and no documents available online
CCB_899	"TIST Program in Kenya, VCS 006"	"Afforestation, Reforestation and Revegetation"	6049	0	website
CCB_824	"TIST Program in Uganda, VCS 001"	"Afforestation, Reforestation and Revegetation"	777	0	website
CCB_825	"TIST Program in Uganda, VCS 002"	"Afforestation, Reforestation and Revegetation"	165	0	website
CCB_826	"TIST Program in Uganda, VCS 004"	"Afforestation, Reforestation and Revegetation"	102	0	website
CCB_827	"TIST Program in Uganda, VCS 003"	"Afforestation, Reforestation and Revegetation"	443	0	website
CCB_993	"TIST Program in Uganda, VCS 005"	"Afforestation, Reforestation and Revegetation"	723	0	website
CCB_994	"TIST Program in India, VCS 001"	"Afforestation, Reforestation and Revegetation"	672	0	website
CCB_995	"TIST Program in Uganda, VCS 006"	"Afforestation, Reforestation and Revegetation"	283	0	website
CCB_1080	Reforestation with Native Species in the Pachijal and Mira River Watersheds for Carbon Retention	"Afforestation, Reforestation and Revegetation"	346	0	website
CCB_1147	Amazon Rio REDD+ IFM	Reduced Emissions from Deforestation and Degradation	18559	0	website
CCB_1332	"Reforestation Project in Yingjing County, Sichuan Province"	"Afforestation, Reforestation and Revegetation"	159	0	website
CCB_1625	"Afforestation/Reforestation on Degraded Lands in Southwest Sichuan, China"	"Afforestation, Reforestation and Revegetation"	19501.84028	1	no area provided on web and no documents available online
CCB_1626	Sodo Community Managed Reforestation (Forest Generation) Project	"Afforestation, Reforestation and Revegetation"	503	0	area from web narative paragraph; not provided in usual location & no docs available
CCB_1628	The Nakauvadra Community-Based Reforestation Project	"Afforestation, Reforestation and Revegetation"	1135	0	area from web narative paragraph; not provided in usual location & no docs available
CCB_1622	REDD+ Project for Caribbean Guatemala: The Conservation Coast	Reduced Emissions from Deforestation and Degradation	54157	0	website
CCB_1621	Forest Again Kakamega Forest	"Afforestation, Reforestation and Revegetation"	19501.84028	1	no area provided on web and no documents available online
CCB_689	"Reforestation of degraded land in Chhattisgarh, India"	"Afforestation, Reforestation and Revegetation"	282	0	website
CCB_737	"TIST Program in Kenya, VCS 005"	"Afforestation, Reforestation and Revegetation"	9120	0	website
CCB_658	"Reforestation of pastures in Campo Verde with native species, Pucallpa, Peru"	"Afforestation, Reforestation and Revegetation"	920	0	website
CCB_1617	Niassa Forest Project	"Afforestation, Reforestation and Revegetation"	19501.84028	1	no area provided on web and no documents available online
CCB_1619	CO2OL Tropical Mix Reforestation Project	"Afforestation, Reforestation and Revegetation"	19501.84028	1	no area provided on web and no documents available online
CCB_1620	Restoring a Forest Legacy at Mingo National Wildlife Refuge	"Afforestation, Reforestation and Revegetation"	149	0	website
CCB_1612	"Addo Elephant National Park, Baviaanskloof Nature Reserve and Great Fish River Nature Reserve Restoration Project (ABFRP)"	"Afforestation, Reforestation and Revegetation"	19501.84028	1	no area provided on web and no documents available online
CCB_1613	Bikin Tiger Carbon Project	Improved Forest Management	93310.66667	1	no area provided on web and no documents available online
CCB_1614	Denman Island Avoided Conversion of Forestlands Project	Reduced Emissions from Deforestation and Degradation	183256.363	1	no area provided on web and no documents available online
CCB_1615	Empresas Publicas de Medellin REDD+ Project	"Afforestation, Reforestation and Revegetation"	19501.84028	1	no area provided on web and no documents available online
CCB_1608	Reforestation on degraded lands in Northwest Guangxi	"Afforestation, Reforestation and Revegetation"	8671	0	area from web narative paragraph; not provided in usual location & no docs available
CCB_1609	Humbo Ethiopia Assisted Natural Regeneration Project	"Afforestation, Reforestation and Revegetation"	19501.84028	1	no area provided on web and no documents available online
CCB_1610	"Reforestation in grassland areas of Idete, Mufindi District, Iringa Region, Tanzania"	"Afforestation, Reforestation and Revegetation"	19501.84028	1	no area provided on web and no documents available online
CCB_1596	"The Juma Sustainable Development Reserve Project: Reducing Greenhouse Gas Emissions from Deforestation and Forest Degradation plus forest management in the State of Amazonas, Brazil"	Reduced Emissions from Deforestation and Degradation	540445	0	website
