paperid	authors	year	title	journal	vol	num	pages	article_num	doi	region	country_area	trop_sub	hab_gen	substrate	substrate2	mammals	birds	reptiles	amphibians	fish	invertebrates	plants	fungi	protists	prokaryotes	impact	method	markers	numregions	numsamp	numsamp_notes	summary	lat_approx	lon_approx	geo_notes	data_share	raw_data_archive	procdata_archive
eDNA14	E. Aylagas; J. Atalah; P. Sanchez-Jerez; J. K. Pearman; N. Casado; J. Asensi; K. Toledo-Guedes; S. Carvalho	2021	A step towards the validation of bacteria biotic indices using DNA metabarcoding for benthic monitoring	Molecular Ecology Resources	21	6	1889-1903		10.1111/1755-0998.13395	Europe	Mediterranean Sea	0	marine	sediment		0	0	0	0	0	0	0	0	0	1	pollution	DNA metabarcoding	16S	1	72		impact of fish farms on sediment bacteria (2000 ASVs retained to use in biotic integrity index)	38.033323	-0.603347		1	NCBI	GitHub
eDNA15	E. Aylagas; A. Borja; X. Irigoien; N. Rodriguez-Ezpeleta	2016	Benchmarking DNA Metabarcoding for Biodiversity-Based Monitoring and Assessment	Frontiers in Marine Science	3		12	96	10.3389/fmars.2016.00096	Europe	Bay of Biscay	0	marine	sediment		0	0	0	0	0	1	0	0	0	0	pollution	DNA metabarcoding	COI	1	238		impact of pollution and use of a status assessment index based on pollution tolerance	43.496936	-2.670302		1	NCBI; Dryad	N
eDNA17	A. Bagi; G. Skogerbo	2022	Tracking bacterial pollution at a marine wastewater outfall site-A case study from Norway	Science of the Total Environment	829		10	154257	10.1016/j.scitotenv.2022.154257	Europe	Norway	0	marine	water		0	0	0	0	0	0	0	0	0	1	pollution	DNA metabarcoding	16S	1	24		impact of sewage pollution on stream bacterial communities	58.811667	5.547778		1	NCBI	N
eDNA18	M. Bagley; E. Pilgrim; M. Knapp; C. Yoder; J. S. Domingo; A. Banerji	2019	High-throughput environmental DNA analysis informs a biological assessment of an urban stream	Ecological Indicators	104		378-389		10.1016/j.ecolind.2019.04.088	North America	USA	0	freshwater	water		0	0	0	0	1	1	1	1	1	0	pollution	DNA metabarcoding	18S	1	104		impact of water quality on broad array of eukaryotic organisms; chordata represented but unspecified except fish	39.220668	-84.466527		1	NCBI	N
eDNA19	J. Bail; J. A. M. Gomez; G. C. D. Vaz; W. A. C. de Castro; R. C. Bonugli-Santos	2022	Structural and functional changes in the fungal community of plant detritus in an invaded Atlantic Forest	Bmc Microbiology	22	1	11	10	10.1186/s12866-021-02431-8	South America	Brazil	1	forest	sediment		0	0	0	0	0	0	0	1	0	0	invasive species	DNA metabarcoding	ITS1	1	2		impact of invasive species on fungal communities of plant detritus	-25.467509	-53.79807		1	NCBI	N
eDNA20	B. Bailet; L. Apotheloz-Perret-Gentil; A. Baricevic; T. Chonova; A. Franc; J. M. Frigerio; M. Kelly; D. Mora; M. Pfannkuchen; S. Proft; M. Ramon; V. Vasselon; J. Zimmermann; M. Kahlert	2020	Diatom DNA metabarcoding for ecological assessment: Comparison among bioinformatics pipelines used in six European countries reveals the need for standardization	Science of the Total Environment	745		17	140948	10.1016/j.scitotenv.2020.140948	Europe	Multiple	0	freshwater	sediment		0	0	0	0	0	0	0	0	1	0	pollution	DNA metabarcoding	18S; rbcL	2	29		impact of water quality on diatom assemblages	48.634984	12.082827		0	N	N
eDNA21	J. Bakker; O. S. Wangensteen; D. D. Chapman; G. Boussarie; D. Buddo; T. L. Guttridge; H. Hertler; D. Mouillot; L. Vigliola; S. Mariani	2017	Environmental DNA reveals tropical shark diversity in contrasting levels of anthropogenic impact	Scientific Reports	7		11	16886	10.1038/s41598-017-17150-2	Multiple	Multiple	1	marine	water		0	0	0	0	1	0	0	0	0	0	over-exploitation	DNA metabarcoding	COI	1	76		impact of over-exploitation on shark populations	21.577356	-72.015991		1	Mendeley	GitHub
eDNA22	M. Barenstrauch; A. S. Vanhove; S. Allegra; S. Peuble; F. Gallice; F. Paran; V. Lavastre; F. Girardot	2022	Microbial diversity and geochemistry of groundwater impacted by steel slag leachates	Science of the Total Environment	843		11	156987	10.1016/j.scitotenv.2022.156987	Europe	France	0	freshwater	water		0	0	0	0	0	0	0	0	0	1	pollution	DNA metabarcoding	16S	1	44		impact of steel slag pollution on groundwater bacteria & archaea communities	45.538994	4.643548		1	NCBI	N
eDNA23	N. Barsoum; C. Bruce; J. Forster; Y. Q. Ji; D. W. Yu	2019	The devil is in the detail: Metabarcoding of arthropods provides a sensitive measure of biodiversity response to forest stand composition compared with surrogate measures of biodiversity	Ecological Indicators	101		313-323		10.1016/j.ecolind.2019.01.023	Europe	UK	0	forest	whole organism		0	0	0	0	0	1	0	0	0	0	habitat structure	DNA metabarcoding	COI	1	15		impact of forest stand composition on arthropods caught in malaise traps and metabarcoded (Folmer primers)	52.5	0.85		0	N	N
eDNA24	K. K. Beentjes; S. H. Barmentlo; E. Cieraad; M. Schilthuizen; B. B. van der Hoorn; A. Speksnijder; K. B. Trimbos	2022	Environmental DNA metabarcoding reveals comparable responses to agricultural stressors on different trophic levels of a freshwater community	Molecular Ecology	31	5	1430-1443		10.1111/mec.16326	Europe	Netherlands	0	freshwater	water		0	0	0	0	0	1	0	0	1	1	pollution	DNA metabarcoding	18S; 16S; COI	3	80		"impact of agriculture-related water pollution on freshwater protists, invertebrates, and bacteria"	52.168711	4.467145		1	NCBI	N
eDNA25	A. J. Beermann; V. M. A. Zizka; V. Elbrecht; V. Baranov; F. Leese	2018	DNA metabarcoding reveals the complex and hidden responses of chironomids to multiple stressors	Environmental Sciences Europe	30		15	26	10.1186/s12302-018-0157-x	Europe	Germany	0	freshwater	water		0	0	0	0	0	1	0	0	0	0	pollution	DNA metabarcoding	COI	1	64		impact of mulitple stressors (pollutants) on chironomids	51.349747	7.170564		1	NCBI	GitHub
eDNA26	L. Bellec; J. Le Du-Carre; F. Almeras; L. Durand; M. A. Cambon-Bonavita; M. Danion; T. Morin	2022	Glyphosate-based herbicide exposure: effects on gill microbiota of rainbow trout (Oncorhynchus mykiss) and the aquatic bacterial ecosystem	Fems Microbiology Ecology	98	8	12	fiac076	10.1093/femsec/fiac076	Europe	France	0	freshwater	water + organism microbiome	fish	0	0	0	0	0	0	0	0	0	1	pollution	DNA metabarcoding	16S	1	47		impact of herbicide on rainbow trout gill microbiota	48.397198	-4.507521		1	NCBI	N
eDNA27	A. F. Bernardino; F. S. Pais; L. S. Oliveira; F. A. Gabriel; T. O. Ferreira; H. M. Queiroz; A. C. A. Mazzuco	2019	Chronic trace metals effects of mine tailings on estuarine assemblages revealed by environmental DNA	Peerj	7		18	e8042	10.7717/peerj.8042	South America	Brazil	1	freshwater	sediment		0	0	0	0	0	1	0	0	0	0	pollution	DNA metabarcoding	18S	1	20		impact of mining pollution on meiofaunal invertebrates	-19.638889	-39.819444		1	N	PeerJ
eDNA28	W. A. Bickford; D. E. Goldberg; D. R. Zak; D. S. Snow; K. P. Kowalski	2022	Plant effects on and response to soil microbes in native and non-native Phragmites australis	Ecological Applications	32	4	18	e2565	10.1002/eap.2565	North America	USA	0	grassland	sediment		0	0	0	0	0	0	0	1	0	1	invasive species	DNA metabarcoding	16S; ITS2	2	16		impact of native and nonnative Phragmites on soil microbes & vice versa	41.71522	-83.95688		1	NCBI	USGS ScienceBase
eDNA30	F. A. Boetzl; J. Krauss; J. Heinze; H. Hoffmann; J. Juffa; S. Konig; E. Krimmer; M. Prante; E. A. Martin; A. Holzschuh; I. Steffan-Dewenter	2021	A multitaxa assessment of the effectiveness of agri-environmental schemes for biodiversity management	Proceedings of the National Academy of Sciences of the United States of America	118	10	9	e2016038118	10.1073/pnas.2016038118	Europe	Germany	0	grassland	whole organism		0	0	0	0	0	1	0	0	0	0	habitat structure	DNA metabarcoding	COI	1	27		impact of agri-environment schemes on arthropods (metabarcoded trap samples)	49.77972	9.918328		1	N	Dryad
eDNA32	M. Borrego-Ramos; E. Becares; P. Garcia; A. Nistal; S. Blanco	2021	Epiphytic Diatom-Based Biomonitoring in Mediterranean Ponds: Traditional Microscopy versus Metabarcoding Approaches	Water	13	10	14	1351	10.3390/w13101351	Europe	Spain	0	freshwater	water		0	0	0	0	0	0	0	0	1	0	pollution	DNA metabarcoding	rbcL	1	22		impact of water quality on diatom assemblages	41.467195	-5.385234		1	NCBI	N
eDNA34	Z. Bourhane; A. Lanzen; C. Cagnon; O. Ben Said; E. Mahmoudi; F. Coulon; E. Atai; A. Borja; C. Cravo-Laureau; R. Duran	2022	Microbial diversity alteration reveals biomarkers of contamination in soil-river-lake continuum	Journal of Hazardous Materials	421		14	126789	10.1016/j.jhazmat.2021.126789	Africa	Tunisia	0	freshwater	sediment		0	0	0	0	0	0	0	0	0	1	pollution	DNA metabarcoding	16S	1	54		impact of contaminants on bacterial assemblages	37.158972	9.68706		1	NCBI	GitHub
eDNA35	S. A. Bracewell; T. L. Barros; M. M. Pinto; K. A. Dafforn; S. L. Simpson; E. L. Johnston	2023	Contaminant pulse following wildfire is associated with shifts in estuarine benthic communities	Environmental Pollution	316		13	120533	10.1016/j.envpol.2022.120533	Oceania	Australia	1	freshwater	sediment		0	0	0	0	0	1	0	1	1	1	pollution	DNA metabarcoding	18S; 16S	2	150		"Impact of megafires on invertebrates, protists, fungi, and bacteria"	-34.0528	150.899537		1	Bioplatforms (Australia)	Dryad
eDNA36	G. J. Brandon-Mong; J. E. Littlefair; K. W. Sing; Y. P. Lee; H. M. Gan; E. L. Clare; J. J. Wilson	2018	Temporal changes in arthropod activity in tropical anthropogenic forests	Bulletin of Entomological Research	108	6	792-799		10.1017/s000748531800010x	Asia	Malaysia	1	forest	whole organism		0	0	0	0	0	1	0	0	0	0	habitat structure	DNA metabarcoding	COI	1	156		impact of anthropogenic disturbance on forest arthropods (metabarcoded in malaise traps)	3.298596	101.783705		1	NCBI	N
eDNA37	P. M. Brannock; J. Sharma; H. M. Bik; W. K. Thomas; K. M. Halanych	2017	Spatial and temporal variation of intertidal nematodes in the northern Gulf of Mexico after the Deepwater Horizon oil spill	Marine Environmental Research	130		200-212		10.1016/j.marenvres.2017.07.008	North America	USA	1	marine	sediment		0	0	0	0	0	1	0	0	0	0	pollution	DNA metabarcoding	18S	1	20		impact of oil spill on nematodes	30.3	-88.1		0	N	N
eDNA38	J. Brantschen; R. C. Blackman; J. C. Walser; F. Altermatt	2021	Environmental DNA gives comparable results to morphology-based indices of macroinvertebrates in a large-scale ecological assessment	Plos One	16	9	19	e0257510	10.1371/journal.pone.0257510	Europe	Switzerland	0	freshwater	whole organism		0	0	0	0	0	1	0	0	0	0	pollution	DNA metabarcoding	COI	1	92		impact of water quality on macroinvertebrates	46.995402	8.103207		1	ENA	N
eDNA39	J. F. Briand; X. Pochon; S. A. Wood; C. Bressy; C. Garnier; K. Rehel; F. Urvois; G. Culioli; A. Zaiko	2018	Metabarcoding and metabolomics offer complementarity in deciphering marine eukaryotic biofouling community shifts	Biofouling	34	6	657-672		10.1080/08927014.2018.1480757	Europe	France	0	marine	surface scrape		0	0	0	0	0	1	0	0	1	0	pollution	DNA metabarcoding	18S	1	32		impact is of chemical coatings on biofouling communities	47.052222	-3.368611		1	NCBI	N
eDNA40	J. F. Briand; T. Pollet; B. Misson; C. Garnier; M. Lejars; M. Maintenay; R. Barry-Martinet; A. Portas; J. F. Ghiglione; C. Bressy	2022	Surface Characteristics Together With Environmental Conditions Shape Marine Biofilm Dynamics in Coastal NW Mediterranean Locations	Frontiers in Marine Science	8		15	746383	10.3389/fmars.2021.746383	Europe	France	0	marine	sediment		0	0	0	0	0	0	0	0	0	1	pollution	DNA metabarcoding	16S	1	42		impact is of chemical coatings on bacterial biofilms	43.106944	5.928056		1	NCBI	N
eDNA41	S. S. Browett; R. Synnott; D. B. O'Meara; R. E. Antwis; S. S. Browett; K. J. Bown; O. S. Wangensteen; D. A. Dawson; J. B. Searle; J. M. Yearsley; A. D. McDevitt	2023	Resource competition drives an invasion-replacement event among shrew species on an island	Journal of Animal Ecology			12		10.1111/1365-2656.13855	Europe	Ireland	0	grassland	organism diet	mammals	0	0	0	0	0	1	0	0	0	0	invasive species	DNA metabarcoding	COI	1	303		impact of shrew competition on co-occuring shrew diet (sequenced shrew guts to determine extent of diet overlap)	52.081767	-8.545002		1	Dryad	Zenodo
eDNA43	R. W. Brown; J. M. Rhymes; D. L. Jones	2022	Saltwater intrusion induces shifts in soil microbial diversity and carbon use efficiency in a coastal grassland ecosystem	Soil Biology & Biochemistry	170		10	108700	10.1016/j.soilbio.2022.108700	Europe	UK	0	grassland	sediment		0	0	0	0	0	0	0	0	0	1	pollution	DNA metabarcoding	16S	1	36		impacts of sea level rise on soil bacteria	53.244816	-4.02264		0	N	N
eDNA44	S. P. Brown; M. Brogden; C. Cortes; A. E. Tucker; A. R. VandeVoort; B. A. Snyder	2021	Investigating the effects of nitrogen deposition and substrates on the microbiome and mycobiome of the millipede Cherokia georgiana georgiana (Diplopoda: Polydesmida)	Soil Biology & Biochemistry	159		10	108285	10.1016/j.soilbio.2021.108285	North America	USA	1	forest	sediment + organism diet	invertebrates	0	0	0	0	0	0	0	1	0	1	nutrients	DNA metabarcoding	16S; ITS2	2	180		"nitrogen impact on fungi, bacteria communities in soil and millipede feces"	33.120355	-83.184368		1	NCBI	N
eDNA46	A. K. Brunbjerg; H. H. Bruun; L. Dalby; C. Flojgaard; T. G. Froslev; T. T. Hoye; I. Goldberg; T. Laessoe; M. D. D. Hansen; L. Brondum; L. Skipper; K. Fog; R. Ejrnaes	2018	Vascular plant species richness and bioindication predict multi-taxon species richness	Methods in Ecology and Evolution	9	12	2372-2382		10.1111/2041-210x.13087	Europe	Denmark	0	forest	sediment + whole organism		0	0	0	0	0	1	0	1	1	0	habitat structure	DNA metabarcoding	18S; ITS2; COI	3	130		"veg diversity as predictor of soil fungi, eukaryotes, malaise arthropods"	55.447766	10.264262		1	N	Dryad
eDNA47	A. K. Brunbjerg; C. Flojgaard; T. G. Froslev; D. K. Andersen; H. H. Bruun; L. Dalby; I. Goldberg; L. J. Lehmann; J. E. Moeslund; R. Ejrnaes	2022	Scrub encroachment promotes biodiversity in temperate European wetlands under eutrophic conditions	Ecology and Evolution	12	11	19	e9445	10.1002/ece3.9445	Europe	Denmark	0	grassland	sediment		0	0	0	0	0	0	0	1	1	0	habitat structure	DNA metabarcoding	18S; ITS2	2	102		"shrub encroachment as predictor of soil fungi, eukaryotic microbes"	55.447766	10.264262		1	N	Dryad
eDNA49	D. Buchner; T. H. Macher; A. J. Beermann; M. T. Werner; F. Leese	2021	Standardized high-throughput biomonitoring using DNA metabarcoding: Strategies for the adoption of automated liquid handlers	Environmental Science and Ecotechnology	8		9	100122	10.1016/j.ese.2021.100122	Europe	Germany	0	freshwater	whole organism		0	0	0	0	0	1	0	0	0	0	pollution	DNA metabarcoding	COI	1	102	"2 datasets, 42 single specimens for dataset 1 and 60 bulk samples for dataset 2"	bulk samples of stream macroinvertebrates for water quality monitoring	50.66206	9.62389		1	ENA	N
eDNA50	A. Buresova-Faitova; J. Kopecky; M. Sagova-Mareckova; L. Alonso; F. Vautrin; Y. Moenne-Loccoz; V. Rodriguez-Nava	2022	Comparison of Actinobacteria communities from human-impacted and pristine karst caves	Microbiologyopen	11	2	35	e1276	10.1002/mbo3.1276	Europe	France	0	cave	sediment		0	0	0	0	0	0	0	0	0	1	pollution	DNA metabarcoding	16S; hsp65	2	58		compared bacteria communities in pristine vs. human-frequented caves	45.071015	1.169362		1	NCBI	Zenodo
eDNA51	A. Burges; V. Fievet; N. Oustriere; L. Epelde; C. Garbisu; J. M. Becerril; M. Mench	2020	Long-term phytomanagement with compost and a sunflower - Tobacco rotation influences the structural microbial diversity of a Cu-contaminated soil	Science of the Total Environment	700		10	134529	10.1016/j.scitotenv.2019.134529	Europe	France	0	grassland	sediment		0	0	0	0	0	0	0	0	0	1	pollution	DNA metabarcoding	16S	1	28		"copper pollution from wood preservatives, restoration with phytoremediation"	44.708897	-0.502707		0	N	N
eDNA52	J. Burgoyne; R. Crepeau; J. Jensen; H. Smith; G. Baker; S. D. Leavitt	2021	Lampenflora in a Show Cave in the Great Basin Is Distinct from Communities on Naturally Lit Rock Surfaces in Nearby Wild Caves	Microorganisms	9	6	18	1188	10.3390/microorganisms9061188	North America	USA	0	cave	sediment		0	0	0	0	0	0	0	0	1	1	pollution	DNA metabarcoding	ITS2; 16S; 23S	3	2	"took 15 samples, pooled into 2 composite samples for DNA analysis"	impact of light pollution on cave microorganisms	38.93772	-114.289819		1	NCBI	N
eDNA54	M. Cabon; D. Galvanek; A. P. Detheridge; G. W. Griffith; S. Marakova; S. Adamcik	2021	Mulching has negative impact on fungal and plant diversity in Slovak oligotrophic grasslands	Basic and Applied Ecology	52		24-37		10.1016/j.baae.2021.02.007	Europe	Slovakia	0	grassland	sediment		0	0	0	0	0	0	0	1	0	0	nutrients	DNA metabarcoding	ITS2	1	24		mulching effects on fungal communities	48.702658	19.366889		1	NCBI	N
eDNA55	W. Cai; C. Y. Yang; X. Y. Wang; C. Y. Wu; L. Larrieu; C. Lopez-Vaamonde; Q. Z. Wen; D. W. Yu	2021	"The ecological impact of pest-induced tree dieback on insect biodiversity in Yunnan pine plantations, China"	Forest Ecology and Management	491		11	119173	10.1016/j.foreco.2021.119173	Asia	China	1	forest	whole organism		0	0	0	0	0	1	0	0	0	0	habitat structure	DNA metabarcoding	COI	1	60		impact of pine dieback on aerial arthropods (caught using malaise traps)	25.38229	102.008617		1	NCBI	GitHub
eDNA56	C. S. C. Calheiros; J. Carecho; M. P. Tomasino; C. M. R. Almeida; A. P. Mucha	2020	Floating Wetland Islands Implementation and Biodiversity Assessment in a Port Marina	Water	12	11	20	3273	10.3390/w12113273	Europe	Portugal	0	marine	water		0	0	0	0	0	0	0	0	0	1	habitat structure	DNA metabarcoding	16S	1	13	from figure 6	impact of floating wetland island instalation on marine bacterial communities	41.178092	-8.703886		0	N	N
eDNA57	P. Camara; M. Carvalho-Silva; O. H. B. Pinto; E. T. Amorim; D. K. Henriques; T. H. da Silva; F. Pellizzari; P. Convey; L. H. Rosa	2021	"Diversity and Ecology of Chlorophyta (Viridiplantae) Assemblages in Protected and Non-protected Sites in Deception Island (Antarctica, South Shetland Islands) Assessed Using an NGS Approach"	Microbial Ecology	81	2	323-334		10.1007/s00248-020-01584-9	Antarctica	Antarctica	0	marine	water		0	0	0	0	0	0	0	0	1	0	pollution	DNA metabarcoding	ITS2	1	14		impact of human visitation on aglae communities in Antarctica	-62.95	-60.633333		0	N	N
eDNA58	P. Camara; P. Convey; S. B. Rangel; M. Konrath; C. C. Barreto; O. H. B. Pinto; M. C. Silva; D. K. Henriques; H. C. de Oliveira; L. H. Rosa	2021	The largest moss carpet transplant in Antarctica and its bryosphere cryptic biodiversity	Extremophiles	25	4	369-384		10.1007/s00792-021-01235-y	Antarctica	Antarctica	0	marine	vegetation		0	0	0	0	0	1	1	1	1	1	habitat structure	DNA metabarcoding	ITS2; 16S; COI	3	1		"impact of transplanting moss carpets on community structure of bacteria, metazoa, fungi, plants"	-62.086986	-58.394754		0	N	N
eDNA59	I. Cantera; O. Coutant; C. Jezequel; J. B. Decotte; T. Dejean; A. Iribar; R. Vigouroux; A. Valentini; J. Murienne; S. Brosse	2022	Low level of anthropization linked to harsh vertebrate biodiversity declines in Amazonia	Nature Communications	13	1	11	3290	10.1038/s41467-022-30842-2	South America	Amazon basin	1	forest + freshwater	water		1	0	0	0	1	0	0	0	0	0	habitat structure	DNA metabarcoding	12S	1	74		impact of forest loss / degradation on Amazonian mammal and fish communities (used teleo and 12S-v5 primers & obitools)	3.101298	-52.337511		1	Dryad; Figshare	Supplement
eDNA61	M. Cariou; C. M. Francois; J. Voisin; M. Pigneret; F. Hervant; L. Volatier; F. Mermillod-Blondin	2021	"Effects of bioturbation by tubificid worms on biogeochemical processes, bacterial community structure and diversity in heterotrophic wetland sediments"	Science of the Total Environment	795		13	148842	10.1016/j.scitotenv.2021.148842	Europe	France	0	forest	sediment		0	0	0	0	0	0	0	0	0	1	habitat structure	DNA metabarcoding	16S	1	48	"""+ 2 controls"	effects of worm burrows on bacterial communities in soil	45.8315	5.106764		1	NCBI	N
eDNA62	C. Castano; T. Dejene; O. Mediavilla; J. Geml; J. A. Oria-de-Rueda; P. Martin-Pinto	2019	Changes in fungal diversity and composition along a chronosequence of Eucalyptus grandis plantations in Ethiopia	Fungal Ecology	39		328-335		10.1016/j.funeco.2019.02.003	Africa	Ethiopia	1	forest	sediment		0	0	0	0	0	0	0	1	0	0	habitat structure	DNA metabarcoding	ITS2	1	45		effect of forest age on fungal communities (Eukalyptus plantations)	7.083889	38.618889		1	NCBI	Mendeley
eDNA63	M. Cavaliere; I. B. Angeles; M. Montresor; C. Bucci; L. Brocani; E. Balassi; F. Margiotta; F. Francescangeli; V. M. P. Bouchet; J. Pawlowski; F. Frontalini	2021	"Assessing the ecological quality status of the highly polluted Bagnoli area (Tyrrhenian Sea, Italy) using foraminiferal eDNA metabarcoding"	Science of the Total Environment	790		16	147871	10.1016/j.scitotenv.2021.147871	Europe	Italy	0	marine	sediment		0	0	0	0	0	0	0	0	1	0	pollution	DNA metabarcoding	18S	1	12		effects of pollution on benthic foraminifera assemblages	40.8	14.15		1	NCBI	N
eDNA64	C. L. Chang; L. Tian; Z. J. Tian; N. McLaughlin; C. J. Tian	2022	Change of soil microorganism communities under saline-sodic land degradation on the Songnen Plain in northeast China	Journal of Plant Nutrition and Soil Science	185	2	297-307		10.1002/jpln.202100230	Asia	China	0	grassland	sediment		0	0	0	0	0	0	0	0	0	1	habitat structure + nutrients	DNA metabarcoding	16S	1	54		impact of vegetation cover and alkalinity on bacterial assemblages in a grassland	45	124		1	NCBI	N
eDNA65	K. A. Chavarria; K. Saltonstall; J. Vinda; J. Batista; M. Lindmark; R. F. Stallard; J. S. Hall	2021	Land use influences stream bacterial communities in lowland tropical watersheds	Scientific Reports	11	1	12	21752	10.1038/s41598-021-01193-7	Central America	Panama	1	freshwater	water		0	0	0	0	0	0	0	0	0	1	pollution	DNA metabarcoding	16S	1	451		"impact of anthropogenic land cover (cattle pastures, etc) on stream bacterial assemblages"	9.216667	-79.783333		1	Figshare	Figshare
